model,seed,checkpoint_path,checkpoint_SHA256,train_manifest_SHA,dev_manifest_SHA,normalization_audit_SHA,memory_manifest_SHA,threshold_manifest_SHA,heldout_trajectories_used_train,heldout_trajectories_used_dev,heldout_trajectories_used_memory,heldout_trajectories_used_threshold
R2_OLD_ONLY_TRAJECTORY_NORM,84,release-assets/seed_84_best.pt,9297cf5639add3f178b8e8d4f6d5d77fdfde88780411ec7fdbc419973a446991,312cc59435ca4ffe368ea9825c21bb6b5416309d21a58afc946dd6c22d221ecf,468d1e8bf15bc3e0809bdc25294b708ecbaab4539680867ca75070cce6551013,dc3cfc01b3fbf457814adc5d91352137ff66d393cd401ded578f8680d5169c43,06eecab8073d3340d6738d3da1de65ce4a76a1aa5ae7e52abde99a789f7259eb,fbc857d099d03f4c6082a7b5befa89a3141f382eae80faf4ca37107d44ad2477,0,0,0,0
R2_OLD_ONLY_TRAJECTORY_NORM,184,release-assets/seed_184_best.pt,8a37f05b7e37fbc54794298c758628120c94ddb1f0b0e6b981459b95c93a695a,312cc59435ca4ffe368ea9825c21bb6b5416309d21a58afc946dd6c22d221ecf,468d1e8bf15bc3e0809bdc25294b708ecbaab4539680867ca75070cce6551013,dc3cfc01b3fbf457814adc5d91352137ff66d393cd401ded578f8680d5169c43,06eecab8073d3340d6738d3da1de65ce4a76a1aa5ae7e52abde99a789f7259eb,fbc857d099d03f4c6082a7b5befa89a3141f382eae80faf4ca37107d44ad2477,0,0,0,0
R2_OLD_ONLY_TRAJECTORY_NORM,284,release-assets/seed_284_best.pt,607f45918226755191e6c4f2ba94b2544c38b3d04432e4a7646f28978d776132,312cc59435ca4ffe368ea9825c21bb6b5416309d21a58afc946dd6c22d221ecf,468d1e8bf15bc3e0809bdc25294b708ecbaab4539680867ca75070cce6551013,dc3cfc01b3fbf457814adc5d91352137ff66d393cd401ded578f8680d5169c43,06eecab8073d3340d6738d3da1de65ce4a76a1aa5ae7e52abde99a789f7259eb,fbc857d099d03f4c6082a7b5befa89a3141f382eae80faf4ca37107d44ad2477,0,0,0,0
