seed,epoch,ssl_loss,positive_similarity,embedding_variance,effective_rank,nearest_neighbor_stability,collapse_flag,checkpoint
84,1,1.8645248015721638,0.9990805784861246,0.005202357657253742,4.351459503173828,0.9991344809532166,False,[local-path omitted]
84,2,0.8287055293718973,0.9982484181722006,0.005979194305837154,5.678156852722168,0.9985929131507874,False,[local-path omitted]
84,3,0.4594179590543111,0.9970231354236603,0.006340447813272476,6.742903709411621,0.9983744621276855,False,[local-path omitted]
84,4,0.42208537459373474,0.9970517555872599,0.006036786828190088,6.6151838302612305,0.9984594583511353,False,[local-path omitted]
84,5,0.3581597035129865,0.9966594477494558,0.005999959073960781,7.6038947105407715,0.9982752799987793,False,[local-path omitted]
84,6,0.3078884482383728,0.9957349598407745,0.006152678281068802,8.920308113098145,0.9979087710380554,False,[local-path omitted]
84,7,0.23189662645260492,0.9957756996154785,0.006129841320216656,8.997596740722656,0.9980475306510925,False,[local-path omitted]
84,8,0.18322351202368736,0.995531847079595,0.006715818308293819,9.437105178833008,0.9971569776535034,False,[local-path omitted]
84,9,0.14877703165014586,0.9953407049179077,0.0069867693819105625,9.68753719329834,0.9954163432121277,False,[local-path omitted]
84,10,0.13405480732520422,0.9941577017307281,0.006870043929666281,10.237704277038574,0.9944769144058228,False,[local-path omitted]
84,11,0.11912693828344345,0.9951698184013367,0.006359057500958443,11.274361610412598,0.9961034059524536,False,[local-path omitted]
84,12,0.10764721284310023,0.993793656428655,0.00720710214227438,11.797063827514648,0.9964393377304077,False,[local-path omitted]
84,13,0.09889684803783894,0.9939183294773102,0.0069561125710606575,11.439902305603027,0.9961450099945068,False,[local-path omitted]
184,1,1.6794486443201702,0.9987015426158905,0.005463268607854843,4.953800678253174,0.9990963339805603,False,[local-path omitted]
184,2,0.7502916753292084,0.9975740512212118,0.006219478789716959,6.505256175994873,0.9963813424110413,False,[local-path omitted]
184,3,0.46104591836531955,0.9966040253639221,0.006021619774401188,7.807184219360352,0.998039960861206,False,[local-path omitted]
184,4,0.3310171291232109,0.9964572787284851,0.00659662950783968,8.821516036987305,0.9969357252120972,False,[local-path omitted]
184,5,0.26064009716113407,0.9958768983681997,0.006421692203730345,9.057793617248535,0.9976925253868103,False,[local-path omitted]
184,6,0.22898121550679207,0.9955243865648905,0.006921479478478432,9.258400917053223,0.9973106980323792,False,[local-path omitted]
184,7,0.19727699148158231,0.9955304463704427,0.0065849460661411285,9.891312599182129,0.9973580837249756,False,[local-path omitted]
184,8,0.15159082661072412,0.9952441056569418,0.0070183370262384415,11.208612442016602,0.9962083697319031,False,[local-path omitted]
184,9,0.15745753794908524,0.9940887093544006,0.007081212941557169,11.409660339355469,0.9966052770614624,False,[local-path omitted]
184,10,0.1304809016486009,0.9950534105300903,0.0069099604152143,10.920037269592285,0.9959897398948669,False,[local-path omitted]
184,11,0.09259550645947456,0.993394672870636,0.00725171435624361,12.561849594116211,0.9966030716896057,False,[local-path omitted]
184,12,0.09079254480699699,0.9938883980115255,0.006796211004257202,12.06959342956543,0.9962321519851685,False,[local-path omitted]
184,13,0.09478042709330718,0.9948882460594177,0.006800943054258823,13.414819717407227,0.9962339401245117,False,[local-path omitted]
284,1,1.9923991759618123,0.9991524716218313,0.005445085931569338,4.716135501861572,0.998206615447998,False,[local-path omitted]
284,2,0.8896584361791611,0.9977257450421652,0.005801008082926273,5.429556369781494,0.9985021948814392,False,[local-path omitted]
284,3,0.5503956526517868,0.9966347515583038,0.006257933564484119,7.428184509277344,0.9979711771011353,False,[local-path omitted]
284,4,0.407190278172493,0.9970796803633372,0.0062864250503480434,8.016127586364746,0.9981151223182678,False,[local-path omitted]
284,5,0.3445628434419632,0.9967711269855499,0.006562547758221626,7.750943660736084,0.9979137778282166,False,[local-path omitted]
284,6,0.2547127927343051,0.9962631464004517,0.006384911481291056,8.830887794494629,0.9974482655525208,False,[local-path omitted]
284,7,0.20414369801680246,0.9955122073491415,0.006642655469477177,9.141008377075195,0.9959433674812317,False,[local-path omitted]
284,8,0.16512999186913171,0.9952809611956278,0.006673065945506096,9.27847957611084,0.996470034122467,False,[local-path omitted]
284,9,0.1711012807985147,0.9951783617337545,0.006330616772174835,9.650489807128906,0.9971609115600586,False,[local-path omitted]
284,10,0.19012371947367987,0.9953210353851318,0.006425128784030676,10.258625030517578,0.9968745112419128,False,[local-path omitted]
284,11,0.14371021029849848,0.9951668580373129,0.0063825203105807304,11.061752319335938,0.9965869188308716,False,[local-path omitted]
284,12,0.12754541573425135,0.9957008759180704,0.006508110091090202,10.507844924926758,0.996123194694519,False,[local-path omitted]
284,13,0.11932226705054443,0.99544957280159,0.0070686545222997665,11.43914794921875,0.996753990650177,False,[local-path omitted]
284,14,0.10059306025505066,0.9939949115117391,0.007052925415337086,12.439828872680664,0.9959080219268799,False,[local-path omitted]
